sNoPlace,nLongitude,nLatitude,nPositionCentreLongitude,nPositionCentreLatitude,sStatut,sGenre,sType,sAutreTete,sNomRue,nSupVelo,sTypeExploitation,nTarifHoraire,sLocalisation,nTarifMax
PM392,-73.59471075,45.52070079,-73.59476579,45.5207215,1,NORMAL,Simple,,Laurier,0,Régulier Payez-Partez,300,S,
PM393,-73.59467031,45.52074763,-73.59472737,45.52076643,1,NORMAL,Simple,,Laurier,1,Régulier Payez-Partez,300,S,
PM394,-73.59463907,45.5207852,-73.59468895,45.52081136,1,NORMAL,Simple,,Laurier,0,Régulier Payez-Partez,300,S,
PM395,-73.59460698,45.52082123,-73.59465054,45.52085628,1,HANDICAPÉ,Simple,,Laurier,0,Régulier Payez-Partez,300,S,
PM397,-73.59444975,45.52085274,-73.59446477,45.52089001,1,NORMAL,Double,PM398,Esplanade,0,Régulier Payez-Partez,300,S,
PM398,-73.59444975,45.52085274,-73.59439251,45.52085944,1,NORMAL,Double,PM397,Esplanade,0,Régulier Payez-Partez,300,S,
PM399,-73.59430853,45.52079083,-73.59432128,45.52082931,1,NORMAL,Double,PM400,Esplanade,0,Régulier Payez-Partez,300,S,
PM400,-73.59430853,45.52079083,-73.59425004,45.52079917,1,NORMAL,Double,PM399,Esplanade,0,Régulier Payez-Partez,300,S,
PM404,-73.5943681,45.52095809,-73.59436862,45.52092314,1,NORMAL,Simple,,Esplanade,0,Régulier Payez-Partez,300,S,
PM405,-73.59423844,45.5209014,-73.59429286,45.52089098,1,NORMAL,Double,PM406,Esplanade,1,Régulier Payez-Partez,300,S,
PM406,-73.59423844,45.5209014,-73.59423036,45.52086177,1,NORMAL,Double,PM405,Esplanade,1,Régulier Payez-Partez,300,S,
PM411,-73.59459063,45.52121718,-73.59457154,45.52118929,1,NORMAL,Simple,,Laurier,1,Régulier Payez-Partez,300,S,
PM412,-73.59457935,45.52123229,-73.5945352,45.52123097,1,NORMAL,Simple,,Laurier,0,Régulier Payez-Partez,300,S,
PM413,-73.59450918,45.52131116,-73.59449642,45.52127545,1,NORMAL,Double,PM414,Laurier,0,Régulier Payez-Partez,300,S,
PM414,-73.59450918,45.52131116,-73.59446166,45.52131531,1,NORMAL,Double,PM413,Laurier,0,Régulier Payez-Partez,300,S,
PM417,-73.59440138,45.52143457,-73.59436987,45.52142058,1,NORMAL,Simple,,Laurier,0,Régulier Payez-Partez,300,S,
PM418,-73.59436894,45.52147213,-73.59433238,45.52146357,1,NORMAL,Simple,,Laurier,0,Régulier Payez-Partez,300,S,
PM419,-73.59433954,45.5215059,-73.59429303,45.52150871,1,NORMAL,Simple,,Laurier,0,Régulier Payez-Partez,300,S,
PM420,-73.59428831,45.5215654,-73.59425525,45.52155203,1,NORMAL,Simple,,Laurier,0,Régulier Payez-Partez,300,S,
PM421,-73.59424168,45.52162087,-73.59421086,45.52160293,1,NORMAL,Simple,,Laurier,0,Régulier Payez-Partez,300,S,
PM422,-73.59418452,45.52168397,-73.5941734,45.5216459,1,NORMAL,Double,PM423,Laurier,0,Régulier Payez-Partez,300,S,
PM423,-73.59418452,45.52168397,-73.59412913,45.52169667,1,NORMAL,Double,PM422,Laurier,0,Régulier Payez-Partez,300,S,
PM424,-73.59409577,45.52178831,-73.59408735,45.52174847,1,NORMAL,Double,PM425,Laurier,0,Régulier Payez-Partez,300,S,
PM425,-73.59409577,45.52178831,-73.59404627,45.52179558,1,NORMAL,Double,PM424,Laurier,0,Régulier Payez-Partez,300,S,
PM426,-73.59441737,45.52106982,-73.59446671,45.52106509,1,NORMAL,Double,PM427,Laurier,1,Régulier Payez-Partez,300,S,
PM427,-73.59441737,45.52106982,-73.59442864,45.52110874,1,NORMAL,Double,PM426,Laurier,1,Régulier Payez-Partez,300,S,
PM428,-73.59436716,45.52112841,-73.59438728,45.52115619,1,NORMAL,Simple,,Laurier,0,Régulier Payez-Partez,300,S,
PM429,-73.59431166,45.52119314,-73.59434591,45.52120363,1,NORMAL,Simple,,Laurier,0,Régulier Payez-Partez,300,S,
PM430,-73.59427632,45.52123385,-73.59430698,45.52125208,1,NORMAL,Simple,,Laurier,0,Régulier Payez-Partez,300,S,
PM431,-73.59422999,45.52128544,-73.59426561,45.52129952,1,NORMAL,Simple,,Laurier,0,Régulier Payez-Partez,300,S,
PM432,-73.59417048,45.52135575,-73.59422191,45.52134592,1,NORMAL,Double,PM433,Laurier,0,Régulier Payez-Partez,300,S,
PM433,-73.59417048,45.52135575,-73.59418055,45.52139337,1,NORMAL,Double,PM432,Laurier,0,Régulier Payez-Partez,300,S,
PM434,-73.59408821,45.52145053,-73.59413918,45.52144081,1,NORMAL,Double,PM435,Laurier,1,Régulier Payez-Partez,300,S,
PM435,-73.59408821,45.52145053,-73.5941029,45.52148713,1,NORMAL,Double,PM434,Laurier,1,Régulier Payez-Partez,300,S,
PM443,-73.59376255,45.52169481,-73.59371032,45.52170034,1,NORMAL,Simple,,Saint-Urbain,1,Régulier Payez-Partez,300,S,
PM444,-73.59363326,45.52163676,-73.59364737,45.52167322,1,NORMAL,Double,PM445,Saint-Urbain,0,Régulier Payez-Partez,300,S,
PM445,-73.59363326,45.52163676,-73.59357956,45.5216402,1,NORMAL,Double,PM444,Saint-Urbain,0,Régulier Payez-Partez,300,S,
PM446,-73.59352307,45.52158884,-73.593524,45.52161626,1,NORMAL,Simple,,Saint-Urbain,1,Régulier Payez-Partez,300,S,
PM448,-73.59362393,45.52182267,-73.5936751,45.52181872,1,NORMAL,Double,PM449,Saint-Urbain,1,Régulier Payez-Partez,300,S,
PM449,-73.59362393,45.52182267,-73.59361324,45.52178628,1,NORMAL,Double,PM448,Saint-Urbain,1,Régulier Payez-Partez,300,S,
PM450,-73.59350077,45.52175812,-73.59355463,45.52175471,1,NORMAL,Simple,,Saint-Urbain,0,Régulier Payez-Partez,300,S,
PM455,-73.59365977,45.52194861,-73.59370446,45.52193956,1,NORMAL,Double,PM456,Laurier,0,Régulier Payez-Partez,300,S,
PM456,-73.59365977,45.52194861,-73.59366728,45.52198463,1,NORMAL,Double,PM455,Laurier,0,Régulier Payez-Partez,300,S,
PM457,-73.59357655,45.52203892,-73.59362673,45.52203113,1,NORMAL,Double,PM458,Laurier,0,Régulier Payez-Partez,300,S,
PM458,-73.59357655,45.52203892,-73.59358618,45.52207763,1,NORMAL,Double,PM457,Laurier,0,Régulier Payez-Partez,300,S,
PM459,-73.59349679,45.52213119,-73.59354862,45.52212071,1,NORMAL,Double,PM460,Laurier,1,Régulier Payez-Partez,300,S,
